Event Name,Event Type,Event Date,Event Location,Sponsor Company,Sponsor Tier,Industry,Headquarters Location,Business Focus,Website,Phone Number,Email Contact,Contact Person,Company Size/Notes,Annual Revenue Range,Employee Count,Sponsorship Opportunity,Why They Sponsor
Game Changer Gala 2026,Cancer Research Prevention - American Cancer Society,February 27 2026,Chateau Luxe Phoenix AZ,Arizona Center for Cancer Care,Gold Sponsor,Oncology Cancer Care,3815 E Bell Rd Ste 3600 Phoenix AZ,(623) 238-7330,arizonaccc.com,(623) 238-7330,Not Listed,Not Listed,13+ Arizona locations,Millions,500+,Sponsor table naming,Cancer care mission alignment

Game Changer Gala 2026,Cancer Research Prevention - American Cancer Society,February 27 2026,Chateau Luxe Phoenix AZ,Exact Sciences Corporation,Gold Sponsor,Diagnostics Cancer Screening,5505 Endeavor Lane Madison WI 53719,(608) 284-5700,exactsciences.com,(608) 284-5700,Not Listed,Not Listed,Cologuard product maker,Millions,1000+,Medical exhibit presence,Cancer screening innovation

Game Changer Gala 2026,Cancer Research Prevention - American Cancer Society,February 27 2026,Chateau Luxe Phoenix AZ,Frys Food Stores,Gold Sponsor,Grocery Retail,P.O. BOX 1043 Tolleson AZ 85353,(623) 936-2100,frysfood.com,(623) 936-2100,Not Listed,Kroger Company,120+ Arizona locations,Multi-million,5000+,Customer appreciation program,Community retail presence

Game Changer Gala 2026,Cancer Research Prevention - American Cancer Society,February 27 2026,Chateau Luxe Phoenix AZ,HonorHealth,Gold Sponsor,Healthcare System,Phoenix Arizona area,Comprehensive healthcare,honorhealth.com,Not Listed,Not Listed,Not Listed,Nonprofit healthcare,Multi-billion,5000+,Health screening booths,Healthcare mission

Game Changer Gala 2026,Cancer Research Prevention - American Cancer Society,February 27 2026,Chateau Luxe Phoenix AZ,KPMG,Gold Sponsor,Professional Services - Accounting Consulting,Hayden Ferry Suite 800 60 East Rio Salado Parkway Tempe AZ 85281,Not Listed,kpmg.com/us,Not Listed,Not Listed,Not Listed,Fortune 100,Multi-billion,2000+,Table sponsorship recognition,Corporate social responsibility

Game Changer Gala 2026,Cancer Research Prevention - American Cancer Society,February 27 2026,Chateau Luxe Phoenix AZ,Optum,Gold Sponsor,Healthcare Insurance,Multiple Phoenix locations,Healthcare management,optum.com,Not Listed,Not Listed,Not Listed,UnitedHealth Group subsidiary,Multi-billion,100000+,Health program partnerships,Healthcare industry leader

Game Changer Gala 2026,Cancer Research Prevention - American Cancer Society,February 27 2026,Chateau Luxe Phoenix AZ,Tyson Foods Inc,Gold Sponsor,Food Processing Manufacturing,2200 W Don Tyson Parkway Springdale AR 72762,479-290-4000,tysonfoods.com,479-290-4000 or 1-800-643-3410,Not Listed,Fortune 100,Multi-billion,140000+,In-kind donation food catering,Corporate giving program

Celebration of Caring Gala 2026,Youth Support Family Services - Delivering Dreams,Friday April 10 2026,Chateau Luxe 1175 E Lone Cactus Dr Phoenix AZ 85024,Arizona Diamondbacks,Excellence in Philanthropy Honoree,Professional Sports Entertainment,Phoenix Arizona,Community sports programs,mlb.com/diamondbacks,Not Listed,Not Listed,Not Listed,Major League Baseball,Multi-million,1500+,Game tickets charitable giving,Sports community connection

Celebration of Caring Gala 2026,Youth Support Family Services - Delivering Dreams,Friday April 10 2026,Chateau Luxe 1175 E Lone Cactus Dr Phoenix AZ 85024,National Charity League - Moon Valley Chapter,Excellence in Philanthropy Honoree,Charitable Organization,Moon Valley Phoenix area,Youth leadership service,nclyouthleaders.org,Not Listed,Not Listed,Not Listed,National nonprofit,Millions,2000+ members,Sponsorship opportunities,Youth development mission

pARTy in the Garden 2026,Arts Culture Support - Phoenix Art Museum,Friday April 10 2026,Phoenix Art Museum Dorrance Sculpture Garden Phoenix AZ,Charlene Berge + Dr Lorrie Henderson,Individual Sponsors,Individual Philanthropists,Phoenix Arizona,Healthcare Community Leadership,Not Listed,Not Listed,Not Listed,Not Listed,High net worth individuals,N/A,Not Listed,Arts patronage,Community art support

pARTy in the Garden 2026,Arts Culture Support - Phoenix Art Museum,Friday April 10 2026,Phoenix Art Museum Dorrance Sculpture Garden Phoenix AZ,Lynne K Love,Individual Sponsor,Individual Philanthropist,Phoenix Arizona,Community Leadership,Not Listed,Not Listed,Not Listed,Not Listed,High net worth individual,N/A,Not Listed,Arts patronage,Arts education support

pARTy in the Garden 2026,Arts Culture Support - Phoenix Art Museum,Friday April 10 2026,Phoenix Art Museum Dorrance Sculpture Garden Phoenix AZ,T.W. Lewis Foundation,Charitable Foundation,Philanthropy Community Support,Phoenix Arizona,Grant making philanthropy,Not Listed,Not Listed,Not Listed,Not Listed,Family foundation,Millions,Not Listed,Foundation sponsorship,Charitable mission alignment

Galaxy Gala 2026,Science Education STEM Programming - Arizona Science Center,Saturday February 21 2026,Arizona Science Center - New Dorrance Dome Phoenix AZ,Arizona Science Center,Event Host/Organizer,Science Education,Phoenix Arizona,STEM education innovation,GalaxyGala.com,602-716-2017,whitneyj@azscience.org,Whitney J,Nonprofit science museum,Millions,1000+,Major sponsorship opportunities,STEM mission alignment

St Jude Oasis of Hope Gala,Pediatric Cancer Research - St Jude Children's Research Hospital,Saturday April 11 2026,The Vault of Scottsdale Scottsdale Arizona,St Jude Children's Research Hospital,Event Organizer,Pediatric Cancer Research,Scottsdale Arizona area,Childhood cancer research,stjude.org,Not Listed,julie.tritschler@alsac.stjude.org,Julie Tritschler,National nonprofit,Millions,Not Listed,Sponsorship packages table,Childhood cancer mission

Phoenix Children's Foundation Events,Pediatric Healthcare Support,Multiple throughout year,Multiple Phoenix locations,Desert Financial Credit Union,Major Donor,Banking Finance,Arizona,Community financial services,desertfinancial.com,Not Listed,Not Listed,Not Listed,Credit union,Multi-million,1200+,$2M pledge annual,Healthcare support

Phoenix Children's Foundation Events,Pediatric Healthcare Support,Multiple throughout year,Multiple Phoenix locations,Renaissance Financial,Matching Supporter,Financial Services,Phoenix area,Financial planning,Not Listed,Not Listed,Not Listed,Not Listed,Private company,Million+,Not Listed,Matching campaigns,Community health

Phoenix Children's Foundation Events,Pediatric Healthcare Support,Multiple throughout year,Multiple Phoenix locations,Panda Express,In-Kind Supporter,Food Service Restaurant,Arizona,Fast casual dining,pandaexpress.com,Not Listed,Not Listed,Not Listed,National restaurant chain,Multi-billion,10000+,Donation programs,Community dining

Phoenix Children's Foundation Events,Pediatric Healthcare Support,Multiple throughout year,Multiple Phoenix locations,Over Easy Restaurants,ABC15 Telethon Partner,Restaurant Hospitality,Phoenix area,Restaurant operations,Not Listed,Not Listed,Not Listed,Not Listed,Local restaurant group,Million+,Not Listed,Donation program,Community dining

Phoenix Children's Foundation Events,Pediatric Healthcare Support,Multiple throughout year,Multiple Phoenix locations,Phoenix Suns,Event Partner,Sports Entertainment,Phoenix Arizona,Professional basketball,nba.com/suns,Not Listed,Not Listed,Not Listed,NBA franchise,Multi-million,1500+,Game tickets merchandise,Sports community

Phoenix Children's Foundation Events,Pediatric Healthcare Support,Multiple throughout year,Multiple Phoenix locations,Trader Joe's,In-Kind Supporter,Grocery Retail,California,Specialty grocery,traderjoes.com,Not Listed,Not Listed,Not Listed,Grocery chain,Multi-billion,50000+,Food donations,Hunger relief mission
