Phase,Task,Description,Deadline,Owner,Status,Priority,Assigned_To,Completion_Date,Notes
AUCTION,Begin Item Solicitation,Personal asks to key members and their business networks,Sept 1,Auction Chair,Not Started,CRITICAL,"[TBD]",,"Target: 35-40 items across categories"
AUCTION,Mid-Point Auction Status,Review donations received, identify gaps,Sept 15,Auction Chair,Not Started,HIGH,"[TBD]",,"Should have 50% of items by now"
AUCTION,Auction Item Deadline,Final deadline for item donations,Sept 30,Auction Chair,Not Started,CRITICAL,"[TBD]",,"Need items 2 weeks before event for catalog"
AUCTION,Create Auction Catalog,Write descriptions, photograph items, organize online listing,Oct 1,Auction Chair,Not Started,HIGH,"[TBD]",,"Professional-quality descriptions for each item"
AUCTION,Set Up Online Bidding Platform,Configure auction platform (22Auctions or similar),Oct 10,Auction Chair,Not Started,HIGH,"[TBD]",,"Test all functionality, donor setup"
AUCTION,Preview Auction to Members,Share auction catalog via email, generate excitement,Oct 20,Auction Chair,Not Started,MEDIUM,"[TBD]",,"Early online bidding opens Oct 20"
AUCTION,Monitor Online Auction,Track bidding activity, manage donor relations,Oct 20 - Nov 14,Auction Chair,Ongoing,MEDIUM,"[TBD]",,"Coordinate item delivery logistics"
MARKETING,Confirm Marketing Lead,Identify point-person for all comms,Aug 20,Event Chair,Not Started,CRITICAL,"[TBD]",,"Needs email list, social media, design skills"
MARKETING,Create Event Tagline/Theme,Finalize event name and key message,Aug 25,Marketing Lead,Not Started,HIGH,"[TBD]",,"Use prior years' theme or create new"
MARKETING,Design Event Branding,Logo, color scheme, event collateral design,Sept 1,Marketing Lead,Not Started,HIGH,"[TBD]",,"Email headers, social templates, postcards"
MARKETING,Build Event Website/Landing Page,Create dedicated page with tickets, sponsorships, details,Sept 15,Marketing Lead,Not Started,HIGH,"[TBD]",,"Include: event details, ticket link, sponsorship info, volunteer signup"
MARKETING,Create Email 1: Save-the-Date,Draft and schedule save-the-date email,Aug 15,Marketing Lead,Not Started,MEDIUM,"[TBD]",,"Send Aug 25 - 60 days before event"
MARKETING,Create Email 2: Event Invitation & Sponsorship,Draft sponsorship-focused email,Aug 25,Marketing Lead,Not Started,HIGH,"[TBD]",,"Send Sept 1"
MARKETING,Create Email 3: Sponsorship Reminder,Draft reminder email for undecided sponsors,Sept 1,Marketing Lead,Not Started,MEDIUM,"[TBD]",,"Send Sept 15"
MARKETING,Create Email 4: Ticket Sales Launch,Draft ticket sales announcement,Sept 10,Marketing Lead,Not Started,HIGH,"[TBD]",,"Send Oct 1 with registration link"
MARKETING,Create Email 5: Volunteer Opportunities,Draft volunteer recruitment email,Sept 10,Marketing Lead,Not Started,MEDIUM,"[TBD]",,"Send Oct 5"
MARKETING,Create Email 6: Early Bird Reminder,Draft early-bird ticket pricing reminder,Sept 20,Marketing Lead,Not Started,MEDIUM,"[TBD]",,"Send Oct 15 - deadline Oct 21"
MARKETING,Create Email 7: Final Ticket Deadline,Draft final ticket sales push,Oct 10,Marketing Lead,Not Started,MEDIUM,"[TBD]",,"Send Oct 28"
MARKETING,Create Email 8: Event Details & Logistics,Draft final event info email,Oct 20,Marketing Lead,Not Started,HIGH,"[TBD]",,"Send Nov 10 - 5 days before event"
MARKETING,Launch Social Media Campaign,Begin posting 3x/week on Facebook/LinkedIn,Oct 1,Marketing Lead,Not Started,MEDIUM,"[TBD]",,"Create 12+ social posts for October-November"
MARKETING,Create Print Collateral,Design and order postcards and posters,Sept 15,Marketing Lead,Not Started,MEDIUM,"[TBD]",,"Distribute to members by Oct 15"
MARKETING,Social Media Advertising,Run paid ads on Facebook targeting members,Oct 15,Marketing Lead,Not Started,LOW,"[TBD]",,"Budget: $500-1000"
LOGISTICS,Identify Logistics Lead,Point-person for day-of coordination,Aug 20,Event Chair,Not Started,CRITICAL,"[TBD]",,"Needs strong organizational & problem-solving skills"
LOGISTICS,Recruit Event Day Volunteers,Identify 10-15 volunteers for event day,Sept 15,Logistics Lead,Not Started,HIGH,"[TBD]",,"Roles: registration, auction management, raffle, logistics"
LOGISTICS,Create Volunteer Role Descriptions,Define each volunteer position and responsibilities,Sept 20,Logistics Lead,Not Started,MEDIUM,"[TBD]",,"Send to recruited volunteers for confirmation"
LOGISTICS,Volunteer Training,Hold brief training on roles and event flow,Nov 10,Logistics Lead,Not Started,HIGH,"[TBD]",,"Can be in-person or via email with diagrams"
LOGISTICS,Arrange Catering,Select caterer, finalize menu, confirm headcount,Sept 15,Logistics Lead,Not Started,CRITICAL,"[TBD]",,"Get final count by Nov 1"
LOGISTICS,Arrange Beverages & Bar Service,Confirm bar service, beer/wine, non-alcoholic options,Sept 20,Logistics Lead,Not Started,HIGH,"[TBD]",,"Beer, wine, soft drinks, coffee service"
LOGISTICS,Book AV & Sound Equipment,Confirm projector, speakers, microphones, raffle display,Sept 20,Logistics Lead,Not Started,HIGH,"[TBD]",,"Test all equipment before event"
LOGISTICS,Arrange Signage & Print Materials,Order banners, table cards, name badges, programs,Oct 1,Logistics Lead,Not Started,HIGH,"[TBD]",,"Deadline for design submissions: Sept 25"
LOGISTICS,Confirm Venue Logistics,Parking, setup time, teardown, coat check, restrooms,Oct 1,Logistics Lead,Not Started,HIGH,"[TBD]",,"Get all venue requirements confirmed"
LOGISTICS,Create Event Run-of-Show,Detailed timeline for event (5:30 PM - 10:00 PM),Oct 15,Logistics Lead,Not Started,HIGH,"[TBD]",,"Include: speaker times, auction timing, raffle times"
LOGISTICS,Arrange Transportation (if needed),Confirm parking or transportation arrangements,Oct 15,Logistics Lead,Not Started,LOW,"[TBD]",,"Check if venue has adequate parking"
LOGISTICS,Final Walkthrough of Venue,Verify setup, test AV, review flow,Nov 13,Logistics Lead,Not Started,CRITICAL,"[TBD]",,"Day before event"
RAFFLE,Create 50/50 Raffle Plan,Define raffle ticket price, prize structure, drawing time,Sept 1,Logistics Lead,Not Started,HIGH,"[TBD]",,"Price: $20 or 3 for $50, 50/50 split"
RAFFLE,Order Raffle Tickets,Print or source raffle ticket stock,Sept 15,Logistics Lead,Not Started,HIGH,"[TBD]",,"Need minimum 500 tickets"
RAFFLE,Recruit Raffle Prize Donations,Solicit gift cards and merchandise for raffle,Sept 15,Auction Chair,Not Started,MEDIUM,"[TBD]",,"Target: $2000 in prizes"
RAFFLE,Finalize Raffle Prize Fulfillment,Confirm all prizes received and ready for drawings,Nov 1,Logistics Lead,Not Started,HIGH,"[TBD]",,"Store safely and securely"
FINANCE,Assign Finance Lead,Point-person for budget tracking,Aug 20,Event Chair,Not Started,CRITICAL,"[TBD]",,"Needs Excel skills and detail orientation"
FINANCE,Create Event Budget,Develop detailed budget with all line items,Aug 25,Finance Lead,Not Started,HIGH,"[TBD]",,"See sponsorship budget tracker"
FINANCE,Set Up Donation Tracking,Create spreadsheet for ticket sales, sponsorships, donations,Sept 1,Finance Lead,Not Started,HIGH,"[TBD]",,"Track all revenue in real-time"
FINANCE,Weekly Revenue Report,Track weekly donations and sponsorships vs. goal,Weekly,Finance Lead,Not Started,MEDIUM,"[TBD]",,"Email update to steering committee"
FINANCE,Reconcile All Donations,Final tally of ticket sales, sponsorships, auction, raffle,Nov 20,Finance Lead,Not Started,CRITICAL,"[TBD]",,"Prepare financial summary"
FINANCE,Prepare Impact Report,Draft post-event report showing funds raised and impact,Dec 1,Finance Lead,Not Started,HIGH,"[TBD]",,"For donor communications and board reporting"
POST-EVENT,Send Thank-You Communications,Personal thank-you emails/calls to all sponsors,Nov 22,Event Chair,Not Started,CRITICAL,"[TBD]",,"Individualized messages highlighting their impact"
POST-EVENT,Distribute Donor Receipts,IRS-compliant receipts for all donors,Nov 25,Finance Lead,Not Started,HIGH,"[TBD]",,"Charitable donation documentation"
POST-EVENT,Auction Winner Settlement,Coordinate payment and item delivery,Nov 25,Auction Chair,Not Started,HIGH,"[TBD]",,"Process all outstanding transactions"
POST-EVENT,Publish Impact Report,Share results with members and donors,Dec 1,Finance Lead,Not Started,MEDIUM,"[TBD]",,"Transparency on funds raised and allocation"
POST-EVENT,Debrief Meeting,Hold steering committee debrief to review lessons learned,Dec 5,Event Chair,Not Started,MEDIUM,"[TBD]",,"Document successes and improvements for next year"
POST-EVENT,Clean Up & Archive,File all documents, photos, feedback for next year,Dec 15,Event Chair,Not Started,LOW,"[TBD]",,"Create 2027 event folder with templates and data"
